                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66786,                0.88406,                 1.1619,                0.86731,                0.91906,                0.95838,                0.86781,                0.44044,                 1.0567,                 1.0339,             0.00057778,             0.00057778,             0.00057778
                     36,                0.63677,                0.89673,                 1.1173,                0.85562,                0.89286,                0.94581,                0.84079,                0.47832,                 1.0593,                 1.0917,             0.00054478,             0.00054478,             0.00054478
                     37,                0.62015,                0.91701,                  1.108,                0.88366,                0.85714,                0.94603,                0.83518,                 0.5056,                 1.0632,                 1.1257,             0.00051177,             0.00051177,             0.00051177
                     38,                0.57958,                0.93794,                 1.1206,                0.95233,                0.77723,                0.93317,                0.80972,                0.50496,                 1.0852,                 1.1165,             0.00047876,             0.00047876,             0.00047876
                     39,                0.56492,                0.84333,                 1.0992,                0.89195,                0.89286,                0.95276,                 0.8559,                0.50401,                 1.0654,                 1.1236,             0.00044576,             0.00044576,             0.00044576
                     40,                0.57801,                0.73862,                 1.1338,                0.86182,                0.95036,                 0.9535,                0.84738,                0.50689,                 1.0546,                 1.1113,             0.00041275,             0.00041275,             0.00041275
                     41,                0.43491,                0.92558,                0.98726,                0.87386,                0.94006,                0.95293,                0.83114,                0.52263,                 1.0983,                 1.1157,             0.00037974,             0.00037974,             0.00037974
                     42,                 0.5119,                 0.9646,                  1.095,                0.83912,                 0.9582,                0.94261,                0.82325,                0.54585,                 1.2872,                 1.1102,             0.00034674,             0.00034674,             0.00034674
                     43,                0.49491,                0.93354,                 1.0384,                0.81156,                0.90652,                0.93363,                0.81893,                0.54588,                 1.4365,                  1.102,             0.00031373,             0.00031373,             0.00031373
                     44,                0.41555,                 0.8148,                 0.9396,                0.81657,                0.95436,                0.94498,                 0.8481,                0.47129,                 1.2391,                  1.032,             0.00028072,             0.00028072,             0.00028072
                     45,                0.53283,                0.88794,                 1.0777,                0.98143,                0.82143,                0.95386,                0.85947,                0.45124,                 1.1439,                 1.0126,             0.00024772,             0.00024772,             0.00024772
                     46,                 0.4415,                0.76133,                  1.055,                0.95277,                0.82143,                0.96646,                0.87047,                0.43681,                 1.0909,                 1.0073,             0.00021471,             0.00021471,             0.00021471
                     47,                0.44429,                0.78149,                 1.0211,                0.95155,                0.85851,                0.96515,                0.86548,                0.43311,                 1.0825,                 1.0068,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.4182,                0.84261,                0.97028,                0.94467,                0.87466,                0.96543,                0.88477,                0.43464,                 1.0672,                  1.014,              0.0001487,              0.0001487,              0.0001487
                     49,                0.39241,                 0.7492,                 1.0115,                0.91099,                0.88698,                0.96439,                0.88386,                0.43387,                 1.0581,                 1.0149,             0.00011569,             0.00011569,             0.00011569
                     50,                0.37777,                0.69318,                0.91528,                0.92689,                0.91251,                0.96714,                0.87362,                0.43568,                 1.0299,                 1.0146,             8.2683e-05,             8.2683e-05,             8.2683e-05
